Mines,Deposit,Operation,Latitude,Longitude
Manyingee,18597296,Deposit,-22.44863889,115.1999167
Kintyre,24266175.8,Deposit,-22.42558333,122.0589722
Yeelirrie,58100000,Deposit,-22.42558333,122.0589722
Mulga Rock,47533168.4,Deposit,-29.97255556,123.7746111
Rum Jungle,0,Decomissioned,-12.99438889,131.0229722
Nabarlek,NoData,Decomissioned,-12.53055556,132.9083333
Ranger,NoData,Operational,-12.68414841,132.9111419
Koongarra,0,Deposit,-12.93823984,132.8051611
South Alligator,-,Decomissioned,-12.65403767,132.505398
Valhalla,28778000,Deposit,-20.30726667,139.2757411
Angela,13973630,Deposit,-20.30726667,139.2757411
Beverly-Four Mile,-,Operational,-30.10054252,139.6035868
Olympic Dam,-,Operational,-30.40206821,136.9253459
Radium Hill,-,Decomissioned,-30.40206821,136.9253459
Westmoreland,23541444,Deposit,-17.33028845,138.2623851
Ben Lomond,5000000,Deposit,-20.11923264,148.4826071
Mary kathleen,0,Decomissioned,-20.73652372,140.0097043
Honeymoon,0,Deposit,-31.6906854,140.6824991
